UNSPSC Number,UNSPSC Description
31261603,STEEL SHELLS OR CASINGS
31281502,ALUMINUM STAMPED COMPONENTS
31281507,CARBON STEEL STAMPED COMPONENTS
31291401,ALUMINUM MACHINED HOT EXTRUSIONS
31291410,PLASTIC MACHINED HOT EXTRUSIONS
3129141801,COMPOSITE MACHINED - T PULTRUSION
3129141802,COMPOSITE MACHINED - CARBON PULTRUSION
31331201,ALUMINUM BOLTED STRUCTURAL ASSEMBLIES
31331202,CARBON STEEL BOLTED STRUCTURAL ASSEMBLIES
31331209,STAINLESS STEEL BOLTED STRUCTURAL ASSEMBLIES
31331601,ALUMINUM WELDED OR BRAZED STRUCTURAL ASSEMBLIES
31331602,CARBON STEEL WELDED OR BRAZED STRUCTURAL ASSEMBLIES
31331609,STAINLESS STEEL WELDED OR BRAZED STRUCTURAL ASSEMBLIES
31351201,ALUMINUM WELDED OR BRAZED TUBE ASSEMBLIES
3135120201,CARBON STEEL WELDED TUBE ASSEMBLY
3135120202,SECTION PAINTED
3135120203,SECTION WELDED
31351501,ALUMINUM BOLTED TUBE ASSEMBLIES
31351509,STAINLESS STEEL BOLTED TUBE ASSEMBLIES
31361201,ALUMINUM BOLTED PLATE ASSEMBLIES
31361202,CARBON STEEL BOLTED PLATE ASSEMBLIES
31361209,STAINLESS STEEL BOLTED PLATE ASSEMBLIES
31361212,COPPER BOLTED PLATE ASSEMBLIES
31361401,ALUMINUM WELDED OR BRAZED PLATE ASSEMBLIES
31361402,CARBON STEEL WELDED OR BRAZED PLATE ASSEMBLIES
31361409,STAINLESS STEEL WELDED OR BRAZED PLATE ASSEMBLIES
31381101,CAST MACHINED ISOTROPIC FERRITE MAGNET
31381104,CAST MACHINED ISOTROPIC NEODYMIUM MAGNET
31381148,CASTISOTROPIC NEODYMIUM MAGNET ASSEMBLY
31391501,PLASTIC STANDARD PRECISION MACHINING
3140150101,RUBBER MOLDED GASKET-ROUND
3140150102,RUBBER MOLDED GASKET-FLAT
3140150103,O RING-ENDLESS SEAL
31401503,O RING MOLDED GASKET
31411501,RUBBER LATHE CUT SEAL
31411505,METALLIC LATHE CUT SEAL
31411703,MECHANICAL SEAL KIT
31411804,RUBBER DIAPHRAGM SEAL
31411901,RUBBER MOLDED SEAL
31411904,RUBBER ON METAL OR PLASTIC MOLDED SEAL
32101510,PRINTED WIRE BOARDS
32101514,AMPLIFIERS
32101527,TERMINATIONS
32101544,FREQUENCY OSCILLATOR
32101601,RANDOM ACCESS MEMORY RAM
32101603,STATIC RANDOM ACCESS MEMORY SRAM
32101605,ERASEABLE PROGRAMMABLE READ ONLY MEMORY EPROM
32101606,ELECTRONICALLY ERASABLE PROGRAMMABLE READ ONLY MEMORY EEPROM
32101608,READ ONLY MEMORY ROM
32101622,FLASH MEMORY
32101626,MICROPROCESSORS
32101629,OPERATIONAL AMPLIFIERS
32101630,VOLTAGE REGULATOR INTEGRATED CIRCUITS
32101631,VOLTAGE COMPARATOR INTEGRATED CIRCUITS
32101632,TIMER INTEGRATED CIRCUITS
32101633,LOGIC GATES
32101634,FLIP FLOPS
32101638,APPLICATION SPECIFIC INTEGRATED CIRCUIT
32101643,PROGRAMMABLE LOGIC INTEGRATED CIRCUIT
32111509,POWER DIODES
32111599,"DIODES, ALL TYPES"
32111602,FIELD EFFECT TRANSISTORS FET
32111609,INSULATED GATE BIPOLAR TRANSISTORS IGBT
32111611,BIPOLAR JUNCTION TRANSISTORS BJT
32111702,THYRISTORS
32121501,FIXED CAPACITORS
32121609,FIXED RESISTORS
32121610,THERMISTOR
32121701,RECTIFIERS
32121702,INDUCTORS
32131001,HEAT SINKS
32151703,PROGRAMMABLE LOGIC CONTROLLER ACCESSORIES
